#size, naive_check, naive_add, strassen_check, strassen_add
4 1.77690110659 2.19383265295 3.99283056968 3.75310182088
8 1.69489373296 3.59025329134 4.75349771278 9.06651571657
16 1.99811988326 6.04378684087 8.47953132627 34.0405818247
