#size, naive_check, naive_add, strassen_check, strassen_add
4 1.51138592392 2.00215067276 3.44982628487 2.92425864155
8 1.49084061059 2.6523009666 3.79866908163 6.66925482009
16 1.68905737013 3.7722678853 6.58184852484 24.1879373799
