#location value, score average at location, score std error at location, number of data points, score median at location, median of all scores, average timeCount (number of fallible operations executed), average failCount (number of fallible operations that actually failed),
25.0 1.230081121171482E57 8.718713059067346E56 128 8.913168282854738E28 2.3625822055249835E55 573.7734375 1.0
24.0 9.230663206622651E57 6.787964746797852E57 122 4.951760157141521E28 2.3625822055249835E55 573.8524590163935 1.0
23.0 3.516816003497099E57 1.5262737470901516E57 636 6.338253001141147E29 2.3625822055249835E55 551.0267295597484 1.0
22.0 2.6629658328584155E57 1.4815070289938715E57 615 1.2676506002282294E30 2.3625822055249835E55 549.9008130081301 1.0
21.0 1.0602341557602074E57 3.896394719349295E56 1292 6.338253001141147E29 2.3625822055249835E55 532.2763157894736 1.0
20.0 1.2567957713613563E57 4.668121503344805E56 1259 3.1691265005705735E29 2.3625822055249835E55 524.8856235107228 1.0
19.0 5.8434820327548075E56 2.6267453791794554E56 1780 6.3382526233518284E29 2.3625822055249835E55 514.7578651685393 1.0
18.0 7.655604438064598E56 3.0296533605337517E56 1737 3.1691265005705735E29 2.3625822055249835E55 489.4490500863558 1.0
17.0 1.129853791133152E56 1.0560168868061386E56 1903 1.0141204197362925E31 2.3625822055249835E55 487.1854965843405 1.0
16.0 2.3625822055249835E55 1.0619100410691391E55 1903 2.5353010493407314E30 2.3625822055249835E55 437.46873357856015 1.0
15.0 7.556818689492867E55 5.628761140995536E55 1994 2.433889055724135E32 2.3625822055249835E55 436.00200601805415 1.0
14.0 1.084703109781498E56 7.143733619423542E55 1995 1.6225927682921336E32 2.3625822055249835E55 383.01954887218045 1.0
13.0 1.198462464324795E49 1.1981606483691915E49 1998 1.622592671578068E32 2.3625822055249835E55 381.8173173173173 1.0
12.0 7.681916446627801E50 7.679756320207233E50 1995 8.11296335789034E31 2.3625822055249835E55 342.9704260651629 1.0
11.0 2.454447313620132E52 2.4538330097690017E52 1998 1.2676505246703612E30 2.3625822055249835E55 342.0925925925926 1.0
10.0 7.673988760344384E50 7.672067067489695E50 1997 3.1691265005705622E29 2.3625822055249835E55 293.73009514271405 1.0
9.0 1.2275600475192231E42 7.433263301902074E41 2000 1.0141204801825799E31 2.3625822055249835E55 292.299 1.0
8.0 2.4731133367620207E42 1.4641609250525254E42 1997 1.0141204801825799E31 2.3625822055249835E55 222.63695543314972 1.0
7.0 3.385949929213725E57 8.542184038912657E56 2000 1.3292279957849112E36 2.3625822055249835E55 220.452 1.0
6.0 4.071140887999143E57 9.180984176662595E56 2000 2.6584558331134973E36 2.3625822055249835E55 178.86 1.0
5.0 3.497401378452838E57 7.898772091717037E56 2000 1.7840596158824435E44 2.3625822055249835E55 177.6465 1.0
4.0 2.8931703609450878E57 6.506856035413332E56 2000 1.7840596158824435E44 2.3625822055249835E55 144.974 1.0
3.0 4.936122078779777E52 4.902746971512071E52 2000 2.2300743869302548E43 2.3625822055249835E55 144.1365 1.0
2.0 3.141963791873843E54 2.2181803812286604E54 2000 2.2300745198530544E43 2.3625822055249835E55 65.6695 1.0
1.0 9.854269658237988E57 1.262762511571787E57 2000 1.4965775874238585E51 2.3625822055249835E55 64.809 1.0
